step,loss,accuracy,raw_gain,applied_gain,scale,mode,seed,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782959938049316,0.0,1.509186029434204,1.1251732110977173,1.0,res_scale,0,0.0,1.509186029434204,1.3920432329177856,1.509186029434204,1.1251732110977173,1.0981857776641846,1.1251732110977173,1.0,0,1.1342857480049133
500,4.804799556732178,0.015625,5.4869489669799805,1.9473984241485596,1.0,res_scale,0,0.015625,4.335729122161865,5.4869489669799805,5.4869489669799805,1.7993528842926025,1.9473984241485596,1.9473984241485596,1.0,0,261.51680969190784
1000,4.845497131347656,0.03125,28.56105613708496,3.1431949138641357,1.0,res_scale,0,0.03125,21.654037475585938,28.56105613708496,28.56105613708496,2.3199315071105957,3.1431949138641357,3.1431949138641357,1.0,0,522.1981487050653
1500,4.848445892333984,0.03125,23.663572311401367,3.0618436336517334,1.0,res_scale,0,0.03125,17.692859649658203,23.663572311401367,23.663572311401367,2.4520201683044434,3.0618436336517334,3.0618436336517334,1.0,0,782.8202466529328
2000,4.910818576812744,0.0,6.16875696182251,2.4021646976470947,1.0,res_scale,0,0.0,4.544044494628906,6.16875696182251,6.16875696182251,2.0817277431488037,2.4021646976470947,2.4021646976470947,1.0,0,1043.5000494099222
2500,4.7352166175842285,0.03125,11.708833694458008,3.2625961303710938,1.0,res_scale,0,0.03125,8.544761657714844,11.708833694458008,11.708833694458008,2.393793821334839,3.2625961303710938,3.2625961303710938,1.0,0,1304.130913655972
3000,4.768252372741699,0.015625,120.93791961669922,4.446732044219971,1.0,res_scale,0,0.015625,116.776611328125,120.93791961669922,120.93791961669922,2.916933536529541,4.446732044219971,4.446732044219971,1.0,0,1564.8626844990067
3500,4.74862003326416,0.03125,169.4486083984375,4.634579658508301,1.0,res_scale,0,0.03125,164.64401245117188,169.4486083984375,169.4486083984375,3.140717029571533,4.634579658508301,4.634579658508301,1.0,0,1825.4567864029668
4000,4.730027198791504,0.0625,581.0618896484375,5.898252964019775,1.0,res_scale,0,0.0625,581.0618896484375,557.99658203125,581.0618896484375,4.942943096160889,5.898252964019775,5.898252964019775,1.0,0,2086.052920422051
4500,4.723057746887207,0.0625,739.7642822265625,6.680546760559082,1.0,res_scale,0,0.0625,734.286376953125,739.7642822265625,739.7642822265625,5.168325424194336,6.680546760559082,6.680546760559082,1.0,0,2346.6887906189077
5000,4.787696838378906,0.03125,542.5439453125,6.2621355056762695,1.0,res_scale,0,0.03125,542.5439453125,540.3431396484375,542.5439453125,4.557827949523926,6.2621355056762695,6.2621355056762695,1.0,0,2607.301489165984
5500,4.777614593505859,0.015625,162.3634033203125,4.793147563934326,1.0,res_scale,0,0.015625,162.3634033203125,155.9701385498047,162.3634033203125,3.444164991378784,4.793147563934326,4.793147563934326,1.0,0,2867.882878144039
6000,4.781786918640137,0.046875,55.553096771240234,3.1642589569091797,1.0,res_scale,0,0.046875,55.553096771240234,51.701290130615234,55.553096771240234,2.295867443084717,3.1642589569091797,3.1642589569091797,1.0,0,3128.5297134430148
6500,4.763762950897217,0.046875,255.507568359375,4.868697643280029,1.0,res_scale,0,0.046875,255.507568359375,216.79212951660156,255.507568359375,3.9822680950164795,4.868697643280029,4.868697643280029,1.0,0,3389.179520620033
7000,4.790192604064941,0.03125,61.05731964111328,3.556180953979492,1.0,res_scale,0,0.03125,61.05731964111328,60.929317474365234,61.05731964111328,2.6142983436584473,3.556180953979492,3.556180953979492,1.0,0,3650.0231351279654
7500,4.717973709106445,0.03125,122.07160949707031,4.0567946434021,1.0,res_scale,0,0.03125,122.07160949707031,118.788818359375,122.07160949707031,3.05026912689209,4.0567946434021,4.0567946434021,1.0,0,3910.851073974045
8000,4.727108955383301,0.015625,104.79879760742188,3.4397339820861816,1.0,res_scale,0,0.015625,104.79879760742188,80.11544799804688,104.79879760742188,2.899442195892334,3.4397339820861816,3.4397339820861816,1.0,0,4171.665956968907
8500,4.670220375061035,0.046875,220.62359619140625,3.619877815246582,1.0,res_scale,0,0.046875,220.62359619140625,103.84012603759766,220.62359619140625,3.619877815246582,2.738170862197876,3.619877815246582,1.0,0,4432.356089520035
9000,4.711431503295898,0.0,1619.0675048828125,5.431540489196777,1.0,res_scale,0,0.0,1619.0675048828125,628.1633911132812,1619.0675048828125,5.431540489196777,4.42294979095459,5.431540489196777,1.0,0,4693.124799405923
9500,4.711851596832275,0.078125,4752.916015625,8.125605583190918,1.0,res_scale,0,0.078125,4752.916015625,2055.82958984375,4752.916015625,8.125605583190918,5.532658576965332,8.125605583190918,1.0,0,4953.900653311983
10000,4.704251289367676,0.078125,5315.8798828125,8.184346199035645,1.0,res_scale,0,0.078125,5315.8798828125,2270.98095703125,5315.8798828125,8.184346199035645,5.4998555183410645,8.184346199035645,1.0,0,5214.618035655934
10500,4.780402183532715,0.03125,76617.453125,18.85210609436035,1.0,res_scale,0,0.03125,76617.453125,34912.4921875,76617.453125,18.85210609436035,11.972688674926758,18.85210609436035,1.0,0,5475.3944525159895
11000,4.759271144866943,0.046875,104695.546875,20.3157958984375,1.0,res_scale,0,0.046875,104695.546875,52551.4375,104695.546875,20.3157958984375,12.774883270263672,20.3157958984375,1.0,0,5736.224255586974
11500,4.631015777587891,0.09375,111089.84375,20.972503662109375,1.0,res_scale,0,0.09375,111089.84375,58626.3359375,111089.84375,20.972503662109375,12.77974796295166,20.972503662109375,1.0,0,5996.9556387020275
12000,4.761139869689941,0.03125,102645.109375,19.429792404174805,1.0,res_scale,0,0.03125,102645.109375,50871.05859375,102645.109375,19.429792404174805,12.39948844909668,19.429792404174805,1.0,0,6257.66412450606
12500,4.699204921722412,0.0625,134261.734375,20.875274658203125,1.0,res_scale,0,0.0625,134261.734375,66368.0078125,134261.734375,20.875274658203125,13.346997261047363,20.875274658203125,1.0,0,6518.436624557013
13000,4.727847099304199,0.03125,149215.171875,21.86615753173828,1.0,res_scale,0,0.03125,149215.171875,78267.890625,149215.171875,21.86615753173828,13.646203994750977,21.86615753173828,1.0,0,6779.157841585111
13500,4.735960960388184,0.0625,291813.90625,26.545211791992188,1.0,res_scale,0,0.0625,291813.90625,153409.90625,291813.90625,26.545211791992188,16.999462127685547,26.545211791992188,1.0,0,7039.891123266891
14000,4.743119239807129,0.015625,292508.9375,27.198562622070312,1.0,res_scale,0,0.015625,292508.9375,173469.140625,292508.9375,27.198562622070312,16.52223777770996,27.198562622070312,1.0,0,7300.621054352028
14500,4.677854061126709,0.046875,189068.0625,19.834827423095703,1.0,res_scale,0,0.046875,189068.0625,95826.8671875,189068.0625,19.834827423095703,14.989137649536133,19.834827423095703,1.0,0,7561.343861328904
14999,4.692031383514404,0.0625,139856.375,18.434734344482422,1.0,res_scale,0,0.0625,139856.375,71318.03125,139856.375,18.434734344482422,14.044205665588379,18.434734344482422,1.0,0,7821.552135684062
