step,loss,accuracy,grad_norm,G_raw,gain_row,gain_col,max_gain,harm_scale
0,5.782888412475586,0.0,1.4652300973191397,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0
500,4.801934242248535,0.015625,1.0650384286025805,6.490556716918945,5.246550559997559,6.490556716918945,6.490556716918945,1.0
1000,4.788708209991455,0.0625,0.7182779718659615,7.247157096862793,6.474949836730957,7.247157096862793,7.247157096862793,1.0
1500,4.747828483581543,0.046875,0.7303901065697871,10.580528259277344,7.481359004974365,10.580528259277344,10.580528259277344,1.0
2000,4.714564323425293,0.078125,0.6787035786068375,16.11206817626953,12.380045890808105,16.11206817626953,16.11206817626953,1.0
2500,4.703104496002197,0.046875,0.6288840968653441,14.982964515686035,7.2949628829956055,14.982964515686035,14.982964515686035,1.0
3000,4.570221424102783,0.109375,0.5418275187688172,12.665719985961914,8.748167037963867,12.665719985961914,12.665719985961914,1.0
3500,4.622206687927246,0.078125,0.5004874872970159,24.18987274169922,21.978118896484375,24.18987274169922,24.18987274169922,1.0
4000,4.628061294555664,0.109375,0.5379837382779481,25.70679473876953,23.42413330078125,25.70679473876953,25.70679473876953,1.0
4500,4.511984348297119,0.078125,0.5342539236207472,38.921363830566406,38.921363830566406,37.91507339477539,38.921363830566406,1.0
5000,4.566755771636963,0.125,0.5028301323643241,44.1866455078125,37.36500930786133,44.1866455078125,44.1866455078125,1.0
5500,4.60374116897583,0.078125,0.5439313917531896,55.78809356689453,32.15179443359375,55.78809356689453,55.78809356689453,1.0
6000,4.3813700675964355,0.109375,0.9358557469850626,78.67253875732422,62.64911651611328,78.67253875732422,78.67253875732422,1.0
6500,4.609519004821777,0.109375,0.7471486485133071,69.48906707763672,55.70298767089844,69.48906707763672,69.48906707763672,1.0
7000,4.691592693328857,0.0625,0.5392342962590857,387.72955322265625,270.7720947265625,387.72955322265625,387.72955322265625,1.0
7500,4.346020221710205,0.125,0.5516755194019912,195.57785034179688,172.4970703125,195.57785034179688,195.57785034179688,1.0
8000,4.361501693725586,0.109375,0.583545384219779,115.47126007080078,115.47126007080078,97.40272521972656,115.47126007080078,1.0
8500,4.345750331878662,0.109375,0.9617775003445075,164.80821228027344,137.89654541015625,164.80821228027344,164.80821228027344,1.0
9000,4.525825500488281,0.078125,0.5499087130254082,395.6148986816406,300.5339660644531,395.6148986816406,395.6148986816406,1.0
9500,4.308402061462402,0.09375,0.615359106780465,206.87440490722656,177.9459991455078,206.87440490722656,206.87440490722656,1.0
10000,4.303461074829102,0.140625,0.6896233182815183,155.909423828125,155.909423828125,124.09474182128906,155.909423828125,1.0
10500,4.190718173980713,0.125,0.6751708072376845,252.03594970703125,191.20803833007812,252.03594970703125,252.03594970703125,1.0
11000,4.248065948486328,0.15625,1.7176061325407113,125.25729370117188,104.06088256835938,125.25729370117188,125.25729370117188,1.0
11500,4.174395561218262,0.140625,0.7865549200281796,226.6262969970703,192.41250610351562,226.6262969970703,226.6262969970703,1.0
12000,4.130558967590332,0.140625,0.6516641398866073,115.56714630126953,113.49381256103516,115.56714630126953,115.56714630126953,1.0
12500,4.06350040435791,0.125,0.8811503133460519,122.85041809082031,110.279052734375,122.85041809082031,122.85041809082031,1.0
13000,3.9617929458618164,0.125,0.649355437412063,122.13307189941406,122.13307189941406,75.09419250488281,122.13307189941406,1.0
13500,3.941899061203003,0.125,0.6292207603304,167.86688232421875,167.86688232421875,91.26345825195312,167.86688232421875,1.0
14000,3.7846813201904297,0.109375,0.6237391170854869,333.3182067871094,333.3182067871094,228.0453643798828,333.3182067871094,1.0
14500,3.8452486991882324,0.125,0.8691410608477081,132.731201171875,132.731201171875,83.27799987792969,132.731201171875,1.0
14999,3.805461883544922,0.125,0.8135396732915029,296.289794921875,296.289794921875,247.17886352539062,296.289794921875,1.0
